years,country,bti_Igs
2024,Afghanistan,1
2024,Albania,6
2024,Algeria,5
2024,Angola,5
2024,Argentina,7
2024,Armenia,6
2024,Azerbaijan,3
2024,Bahrain,5
2024,Bangladesh,4
2024,Belarus,3
2024,Benin,7
2024,Bhutan,3
2024,Bolivia,7
2024,Bosnia and Herzegovina,5
2024,Botswana,6
2024,Brazil,8
2024,Bulgaria,7
2024,Burkina Faso,7
2024,Burundi,4
2024,Cambodia,2
2024,Cameroon,4
2024,Central African Republic,3
2024,Chad,2
2024,Chile,8
2024,China,2
2024,Colombia,6
2024,"Congo, DR",4
2024,"Congo, Rep.",3
2024,Costa Rica,9
2024,Côte d'Ivoire,4
2024,Croatia,9
2024,Cuba,3
2024,Czechia,10
2024,Djibouti,2
2024,Dominican Republic,7
2024,Ecuador,5
2024,Egypt,3
2024,El Salvador,7
2024,Equatorial Guinea,2
2024,Eritrea,1
2024,Estonia,8
2024,Eswatini,5
2024,Ethiopia,3
2024,Gabon,5
2024,Gambia,7
2024,Georgia,5
2024,Ghana,8
2024,Guatemala,4
2024,Guinea,6
2024,Guinea-Bissau,7
2024,Haiti,3
2024,Honduras,5
2024,Hungary,6
2024,India,5
2024,Indonesia,7
2024,Iran,2
2024,Iraq,4
2024,Jamaica,7
2024,Jordan,4
2024,Kazakhstan,3
2024,Kenya,6
2024,Kosovo,6
2024,Kuwait,5
2024,Kyrgyzstan,4
2024,Laos,2
2024,Latvia,8
2024,Lebanon,6
2024,Lesotho,4
2024,Liberia,5
2024,Libya,4
2024,Lithuania,8
2024,Madagascar,5
2024,Malawi,6
2024,Malaysia,6
2024,Mali,7
2024,Mauritania,4
2024,Mauritius,8
2024,Mexico,6
2024,Moldova,5
2024,Mongolia,7
2024,Montenegro,8
2024,Morocco,4
2024,Mozambique,3
2024,Myanmar,2
2024,Namibia,7
2024,Nepal,5
2024,Nicaragua,3
2024,Niger,5
2024,Nigeria,4
2024,North Korea,1
2024,North Macedonia,7
2024,Oman,2
2024,Pakistan,4
2024,Panama,6
2024,Papua New Guinea,5
2024,Paraguay,6
2024,Peru,5
2024,Philippines,7
2024,Poland,9
2024,Qatar,3
2024,Romania,6
2024,Russia,3
2024,Rwanda,2
2024,Saudi Arabia,3
2024,Senegal,6
2024,Serbia,7
2024,Sierra Leone,5
2024,Singapore,4
2024,Slovakia,9
2024,Slovenia,9
2024,Somalia,3
2024,South Africa,7
2024,South Korea,8
2024,South Sudan,3
2024,Sri Lanka,7
2024,Sudan,4
2024,Syria,2
2024,Taiwan,9
2024,Tajikistan,2
2024,Tanzania,5
2024,Thailand,4
2024,Timor-Leste,5
2024,Togo,6
2024,Trinidad and Tobago,9
2024,Tunisia,7
2024,Türkiye,3
2024,Turkmenistan,2
2024,Uganda,5
2024,Ukraine,7
2024,United Arab Emirates,2
2024,Uruguay,10
2024,Uzbekistan,3
2024,Venezuela,3
2024,Vietnam,3
2024,Yemen,2
2024,Zambia,6
2024,Zimbabwe,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
